date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2016-09-28,24.52,29.42,29.42,24.52,37.0,300546,,,,,,,,,,,
2016-09-29,32.36,32.36,32.36,32.36,1.0,300546,0.09993,,,,,,,,,,
2016-09-30,35.6,35.6,35.6,35.6,16.0,300546,0.10012,,,,,,32.46,,,,
2016-10-10,39.16,39.16,39.16,39.16,1.0,300546,0.1,,,,,,34.135,,,,
2016-10-11,43.08,43.08,43.08,43.08,44.0,300546,0.1001,,,,,,35.924,,,,
2016-10-12,47.39,47.39,47.39,47.39,23.0,300546,0.10005,0.61081,,,,,39.518,,,,
2016-10-13,52.13,52.13,52.13,52.13,51.0,300546,0.10002,0.61094,,,,,43.472,,,,
2016-10-14,57.34,57.34,57.34,57.34,46.0,300546,0.09994,0.61067,,,,,47.82,,,,
2016-10-17,63.07,63.07,63.07,63.07,44.0,300546,0.09993,0.61057,,,,,52.602,,,,
2016-10-18,69.38,69.38,69.38,69.38,39.0,300546,0.10005,0.61049,,,,,57.862,,,,
2016-10-19,76.32,76.32,76.32,76.32,116.0,300546,0.10003,0.61047,,,,,63.648,49.56818,,,
2016-10-20,83.95,83.95,83.95,83.95,267.0,300546,0.09997,0.6104,,,,,70.012,52.43333,,,
2016-10-21,92.35,92.35,92.35,92.35,333.0,300546,0.10006,0.61057,,,,,77.014,55.50385,,,
2016-10-24,101.59,101.59,101.59,101.59,1316.0,300546,0.10005,0.61075,,,,,84.718,58.79571,,,
2016-10-25,111.75,111.75,111.75,111.75,1367.0,300546,0.10001,0.61069,,,,,93.192,62.326,,,
2016-10-26,122.93,122.93,122.93,122.93,567.0,300546,0.10004,0.61072,,,,,102.514,66.11375,,,
2016-10-27,135.22,135.22,135.22,135.22,446.0,300546,0.09998,0.61072,,,,,112.768,70.17882,,,
2016-10-28,148.74,148.74,148.74,148.74,565.0,300546,0.09999,0.61061,,,,,124.046,74.54333,,,
2016-10-31,163.61,149.0,163.61,139.11,81426.0,300546,0.00175,0.46668,,,,,133.528,78.46211,,,
2016-11-01,145.01,145.81,149.96,143.2,45328.0,300546,-0.02141,0.30479,,,,,140.34,81.8295,,,
2016-11-02,144.9,149.5,153.98,144.02,47436.0,300546,0.02531,0.21614,,,,,145.654,85.0519,,,
2016-11-03,148.0,142.31,149.19,142.22,43697.0,300546,-0.04809,0.05243,3.83719,,,,147.072,90.42762,,,
2016-11-04,138.75,141.25,144.85,138.71,25495.0,300546,-0.00745,-0.05036,3.36496,,,,145.574,95.61286,,,
