date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2012-08-21,6.58,7.2379999999999995,7.2379999999999995,6.481,204655.0,300350,,,,,,,,,,,
2012-08-22,6.976,7.96,7.96,6.7379999999999995,159937.0,300350,0.09975,,,,,,,,,,
2012-08-23,8.033999999999999,8.212,8.757,7.975,173429.0,300350,0.03166,,,,,,7.80333,,,,
2012-08-24,7.916,7.728,8.554,7.6979999999999995,128378.0,300350,-0.05894,,,,,,7.7845,,,,
2012-08-27,7.371,6.956,7.45,6.956,45396.0,300350,-0.0999,,,,,,7.6188,,,,
2012-08-28,6.59,6.931,7.07,6.535,90362.0,300350,-0.00359,-0.04242,,,,,7.5574,,,,
2012-08-29,6.733,6.807,7.3020000000000005,6.605,80825.0,300350,-0.01789,-0.14485,,,,,7.3268,,,,
2012-08-30,6.718,6.332000000000001,7.05,6.125,79069.0,300350,-0.06978,-0.22893,,,,,6.9508,,,,
2012-08-31,6.308,6.3229999999999995,6.397,6.144,47236.0,300350,-0.00142,-0.18181,,,,,6.6698,,,,
2012-09-03,6.292999999999999,6.585,6.624,6.263,58270.0,300350,0.04144,-0.05334,,,,,6.5956,,,,
2012-09-04,6.614,6.8020000000000005,6.852,6.535,70975.0,300350,0.03295,-0.01861,,,,,6.5698,7.07945,,,
2012-09-05,6.669,6.654,6.778,6.56,46724.0,300350,-0.02176,-0.02248,,,,,6.5392,7.044,,,
2012-09-06,6.629,6.847,6.971,6.605,56541.0,300350,0.02901,0.08133,,,,,6.6422,7.02885,,,
2012-09-07,6.99,7.025,7.172999999999999,6.847,74125.0,300350,0.026,0.11102,,,,,6.7826,7.02857,,,
2012-09-10,6.946000000000001,7.02,7.084,6.8420000000000005,53848.0,300350,-0.00071,0.06606,,,,,6.8696,7.028,,,
2012-09-11,6.976,6.797000000000001,6.976,6.733,42474.0,300350,-0.03177,-0.00074,,,,,6.8686,7.01356,,,
2012-09-12,6.852,7.223,7.223,6.757999999999999,79147.0,300350,0.06267,0.08551,,,,,6.9824,7.02588,,,
2012-09-13,7.099,6.852,7.202999999999999,6.852,48122.0,300350,-0.05136,0.00073,,,,,6.9834,7.01622,,,
2012-09-14,6.921,6.629,6.976,6.501,43245.0,300350,-0.03255,-0.05637,,,,,6.9042,6.99584,,,
2012-09-17,6.614,6.332000000000001,6.6739999999999995,6.313,27623.0,300350,-0.0448,-0.09801,,,,,6.7666,6.96265,,,
2012-09-18,6.3229999999999995,6.446000000000001,6.501,6.292999999999999,18636.0,300350,0.018,-0.05164,,,,,6.6964,6.93805,,,
2012-09-19,6.456,6.53,6.619,6.446000000000001,24043.0,300350,0.01303,-0.09594,-0.09782,,,,6.5578,6.90433,,,
2012-09-20,6.506,6.085,6.53,6.0360000000000005,28938.0,300350,-0.06815,-0.11194,-0.23555,,,,6.4044,6.81505,,,
2012-09-21,6.0360000000000005,5.843,6.08,5.837999999999999,21911.0,300350,-0.03977,-0.11857,-0.28848,,,,6.2472,6.70224,,,
2012-09-24,5.787999999999999,5.902,5.976,5.699,11867.0,300350,0.0101,-0.06791,-0.23628,,,,6.1612,6.61529,,,
2012-09-25,5.917000000000001,5.625,5.917000000000001,5.6,17410.0,300350,-0.04693,-0.12737,-0.19135,,,,5.997,6.5519,,,
2012-09-26,5.585,5.437,5.709,5.353,15796.0,300350,-0.03342,-0.16738,-0.21555,,,,5.7784,6.48076,,,
2012-09-27,5.4670000000000005,5.561,5.665,5.437,18374.0,300350,0.02281,-0.08611,-0.18305,,,,5.6736,6.42143,,,
2012-09-28,5.511,5.6739999999999995,5.7139999999999995,5.506,16730.0,300350,0.02032,-0.02892,-0.10392,,,,5.6398,6.3901,,,
2012-10-08,5.6739999999999995,5.689,5.7589999999999995,5.605,11229.0,300350,0.00264,-0.03609,-0.10027,,,,5.5972,6.3599,,,
2012-10-09,5.709,5.892,5.917000000000001,5.689,19254.0,300350,0.03568,0.04747,-0.10524,,,,5.6506,6.3269,6.57861,,
2012-10-10,5.843,5.976,6.011,5.837999999999999,16930.0,300350,0.01426,0.09914,-0.12143,,,,5.7584,6.28757,6.55978,,
2012-10-11,5.956,5.669,5.956,5.66,20407.0,300350,-0.05137,0.01942,-0.14803,,,,5.78,6.24067,6.53279,,
2012-10-12,5.684,5.689,5.787999999999999,5.59,13761.0,300350,0.00353,0.00264,-0.16913,,,,5.783,6.18552,6.50797,,
2012-10-15,5.689,5.699,5.778,5.531000000000001,14405.0,300350,0.00176,0.00176,-0.18875,,,,5.785,6.12238,6.48486,,
2012-10-16,5.684,5.694,5.808,5.605,13504.0,300350,-0.00088,-0.0336,-0.18889,,,,5.7454,6.05924,6.46289,,
2012-10-17,5.694,5.872000000000001,5.912000000000001,5.689,23035.0,300350,0.03126,-0.0174,-0.13609,,,,5.7246,6.01519,6.44692,,
