date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
1996-11-04,1.9280000000000002,1.8769999999999998,1.989,1.848,65361.99,600764,,,,,,,,,,,
1996-11-05,1.861,1.9780000000000002,2.016,1.817,33417.11,600764,0.05381,,,,,,,,,,
1996-11-06,2.008,1.949,2.012,1.864,16540.31,600764,-0.01466,,,,,,1.93467,,,,
1996-11-07,1.9569999999999999,2.037,2.06,1.936,22940.7,600764,0.04515,,,,,,1.96025,,,,
1996-11-08,2.024,2.129,2.177,2.015,31830.6,600764,0.04516,,,,,,1.994,,,,
1996-11-11,2.1180000000000003,2.135,2.169,2.057,14105.96,600764,0.00282,0.13745,,,,,2.0456,,,,
1996-11-12,2.135,2.0,2.1630000000000003,2.0,11481.5,600764,-0.06323,0.01112,,,,,2.05,,,,
1996-11-13,2.089,2.073,2.169,2.057,11295.36,600764,0.0365,0.06362,,,,,2.0748,,,,
1996-11-14,2.0869999999999997,2.057,2.089,2.033,9511.6,600764,-0.00772,0.00982,,,,,2.0788,,,,
1996-11-15,2.05,2.1180000000000003,2.129,2.029,8632.26,600764,0.02965,-0.00517,,,,,2.0766,,,,
1996-11-18,2.134,2.169,2.182,2.073,11561.8,600764,0.02408,0.01593,,,,,2.0834,2.04745,,,
1996-11-19,2.201,2.169,2.241,2.164,8517.0,600764,0.0,0.0845,,,,,2.1172,2.05758,,,
1996-11-20,2.171,2.198,2.214,2.123,9269.2,600764,0.01337,0.0603,,,,,2.1422,2.06838,,,
1996-11-21,2.217,2.049,2.225,2.024,6876.4,600764,-0.06779,-0.00389,,,,,2.1406,2.067,,,
1996-11-22,2.008,2.065,2.065,1.992,5020.4,600764,0.00781,-0.02502,,,,,2.13,2.06687,,,
1996-11-25,2.053,2.069,2.081,2.008,3858.29,600764,0.00194,-0.0461,,,,,2.11,2.067,,,
1996-11-26,2.073,2.041,2.084,2.029,3226.6,600764,-0.01353,-0.05901,,,,,2.0844,2.06547,,,
1996-11-27,2.041,2.073,2.089,2.024,2859.0,600764,0.01568,-0.05687,,,,,2.0594,2.06589,,,
1996-11-28,2.0780000000000003,2.129,2.164,2.0780000000000003,5663.27,600764,0.02701,0.03904,,,,,2.0754,2.06921,,,
1996-11-29,2.166,2.23,2.248,2.153,12551.6,600764,0.04744,0.0799,,,,,2.1084,2.07725,,,
1996-12-02,2.298,2.41,2.458,2.298,12329.39,600764,0.08072,0.16481,,,,,2.1766,2.0931,,,
1996-12-03,2.4419999999999997,2.4419999999999997,2.539,2.394,13922.8,600764,0.01328,0.19647,0.30101,,,,2.2568,2.12,,,
1996-12-04,2.41,2.568,2.5869999999999997,2.41,10027.65,600764,0.0516,0.23878,0.29828,,,,2.3558,2.1481,,,
1996-12-05,2.555,2.539,2.699,2.539,8955.2,600764,-0.01129,0.19258,0.30272,,,,2.4378,2.17619,,,
1996-12-06,2.539,2.569,2.6510000000000002,2.51,8221.3,600764,0.01182,0.15202,0.26117,,,,2.5056,2.20152,,,
1996-12-09,2.603,2.662,2.6660000000000004,2.588,8306.13,600764,0.0362,0.10456,0.25035,,,,2.556,2.2269,,,
1996-12-10,2.667,2.8360000000000003,2.86,2.572,10809.24,600764,0.06536,0.16134,0.32834,,,,2.6348,2.26029,,,
