date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2016-10-21,9.05,10.86,10.86,9.05,103.0,603859,,,,,,,,,,,
2016-10-24,11.95,11.95,11.95,11.95,123.0,603859,0.10037,,,,,,,,,,
2016-10-25,13.15,13.15,13.15,13.15,36.0,603859,0.10042,,,,,,11.98667,,,,
2016-10-26,14.47,14.47,14.47,14.47,52.0,603859,0.10038,,,,,,12.6075,,,,
2016-10-27,15.92,15.92,15.92,15.92,81.0,603859,0.10021,,,,,,13.27,,,,
2016-10-28,17.51,17.51,17.51,17.51,165.0,603859,0.09987,0.61234,,,,,14.6,,,,
2016-10-31,19.26,19.26,19.26,19.26,262.0,603859,0.09994,0.61172,,,,,16.062,,,,
2016-11-01,21.19,21.19,21.19,21.19,243.0,603859,0.10021,0.61141,,,,,17.67,,,,
2016-11-02,23.31,23.31,23.31,23.31,222.0,603859,0.10005,0.61092,,,,,19.438,,,,
2016-11-03,25.64,25.64,25.64,25.64,341.0,603859,0.09996,0.61055,,,,,21.382,,,,
2016-11-04,28.2,28.2,28.2,28.2,692.0,603859,0.09984,0.61051,,,,,23.52,18.31455,,,
2016-11-07,31.02,31.02,31.02,31.02,393.0,603859,0.1,0.61059,,,,,25.872,19.37333,,,
2016-11-08,34.12,34.12,34.12,34.12,323.0,603859,0.09994,0.61019,,,,,28.458,20.50769,,,
2016-11-09,37.53,37.53,37.53,37.53,1335.0,603859,0.09994,0.61004,,,,,31.302,21.72357,,,
2016-11-10,41.28,41.28,41.28,41.28,670.0,603859,0.09992,0.60998,,,,,34.43,23.02733,,,
2016-11-11,45.41,45.41,45.41,45.41,1358.0,603859,0.10005,0.61028,,,,,37.872,24.42625,,,
2016-11-14,49.95,49.95,49.95,49.95,1610.0,603859,0.09998,0.61025,,,,,41.658,25.92765,,,
2016-11-15,54.95,54.95,54.95,54.95,1822.0,603859,0.1001,0.61049,,,,,45.824,27.54,,,
2016-11-16,60.45,58.89,60.45,57.6,203864.0,603859,0.0717,0.56914,,,,,50.096,29.19,,,
2016-11-17,55.5,57.71,59.18,54.51,124714.0,603859,-0.02004,0.39801,,,,,53.382,30.616,,,
2016-11-18,56.63,54.16,57.5,54.05,88088.0,603859,-0.06151,0.19269,,,,,55.132,31.73714,,,
2016-11-21,53.99,54.1,54.48,52.08,61394.0,603859,-0.00111,0.08308,3.98158,,,,55.962,33.79619,,,
2016-11-22,53.88,56.27,57.36,53.72,78004.0,603859,0.04011,0.02402,3.70879,,,,56.226,35.90667,,,
2016-11-23,56.0,54.54,56.5,54.12,46246.0,603859,-0.03074,-0.07387,3.14753,,,,55.356,37.87762,,,
2016-11-24,54.5,53.52,55.5,53.07,34396.0,603859,-0.0187,-0.0726,2.69869,,,,54.518,39.73714,,,
2016-11-25,53.21,53.49,53.79,50.6,36093.0,603859,-0.00056,-0.01237,2.35992,,,,54.384,41.52619,,,
2016-11-28,53.02,52.06,53.39,51.72,23997.0,603859,-0.02673,-0.03771,1.97316,,,,53.976,43.17143,,,
2016-11-29,51.8,50.65,52.51,50.6,28402.0,603859,-0.02708,-0.09988,1.6298,,,,52.852,44.66619,,,
2016-11-30,50.18,50.65,51.0,49.98,16819.0,603859,0.0,-0.07132,1.39028,,,,52.074,46.06905,,,
2016-12-01,50.8,52.4,52.95,50.74,28970.0,603859,0.03455,-0.02093,1.24796,,,,51.85,47.45429,,,
2016-12-02,52.01,53.28,54.82,51.5,51524.0,603859,0.01679,-0.00393,1.078,,,,51.808,48.77048,38.6271,,
2016-12-05,51.9,51.43,53.12,51.16,26768.0,603859,-0.03472,-0.0121,0.82376,,,,51.682,49.87667,39.02719,,
