date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2011-01-28,8.556000000000001,8.718,8.786,7.968999999999999,683745.0,601519,,,,,,,,,,,
2011-01-31,8.415,8.227,8.481,8.072000000000001,324565.0,601519,-0.05632,,,,,,,,,,
2011-02-01,8.209,8.271,8.584,8.177999999999999,268237.0,601519,0.00535,,,,,,8.40533,,,,
2011-02-09,7.9,7.825,8.01,7.684,208206.0,601519,-0.05392,,,,,,8.26025,,,,
2011-02-10,7.803999999999999,8.12,8.222999999999999,7.803999999999999,170555.0,601519,0.0377,,,,,,8.2322,,,,
2011-02-11,8.165,8.033999999999999,8.199,7.972,142373.0,601519,-0.01059,-0.07846,,,,,8.0954,,,,
2011-02-14,8.038,8.838,8.838,8.003,243196.0,601519,0.10007,0.07427,,,,,8.2176,,,,
2011-02-15,8.931000000000001,8.934,9.377,8.852,378678.0,601519,0.01086,0.08016,,,,,8.3502,,,,
2011-02-16,8.828,8.955,9.133,8.769,185288.0,601519,0.00235,0.14441,,,,,8.5762,,,,
2011-02-17,8.992,9.274,9.308,8.937999999999999,195981.0,601519,0.03562,0.14212,,,,,8.807,,,,
2011-02-18,9.274,8.852,9.398,8.831,194343.0,601519,-0.0455,0.10182,,,,,8.9706,8.54982,,,
2011-02-21,8.755,8.986,9.003,8.607999999999999,100409.0,601519,0.01514,0.01675,,,,,9.0002,8.58617,,,
2011-02-22,8.892999999999999,8.639,9.123,8.622,121075.0,601519,-0.03862,-0.03302,,,,,8.9412,8.59023,,,
2011-02-23,8.622,8.742,8.81,8.622,71583.0,601519,0.01192,-0.02379,,,,,8.8986,8.60107,,,
2011-02-25,8.948,8.889,9.068,8.828,104124.0,601519,0.01682,-0.04151,,,,,8.8216,8.62027,,,
2011-02-28,8.828,8.711,8.886000000000001,8.543,91191.0,601519,-0.02002,-0.01593,,,,,8.7934,8.62594,,,
2011-03-01,8.752,8.628,8.752,8.587,76286.0,601519,-0.00953,-0.03984,,,,,8.7218,8.62606,,,
2011-03-02,8.591000000000001,8.721,8.759,8.457,90165.0,601519,0.01078,0.00949,,,,,8.7382,8.63133,,,
2011-03-03,8.69,8.426,8.766,8.419,64763.0,601519,-0.03383,-0.03615,,,,,8.675,8.62053,,,
2011-03-04,8.443,8.436,8.494,8.24,58146.0,601519,0.00119,-0.05096,,,,,8.5844,8.6113,,,
2011-03-07,8.398,8.529,8.604,8.371,54543.0,601519,0.01102,-0.02089,,,,,8.548,8.60738,,,
2011-03-08,8.536,8.405,8.536,8.33,52627.0,601519,-0.01454,-0.02585,-0.0359,,,,8.5034,8.59248,,,
2011-03-09,8.408999999999999,8.615,8.642000000000001,8.333,83224.0,601519,0.02499,-0.01215,0.04716,,,,8.4822,8.61095,,,
2011-03-10,8.618,8.567,8.676,8.536,62430.0,601519,-0.00557,0.01673,0.03579,,,,8.5104,8.62505,,,
2011-03-11,8.522,8.464,8.632,8.453,46295.0,601519,-0.01202,0.00332,0.08166,,,,8.516,8.65548,,,
2011-03-14,8.45,8.347000000000001,8.536,8.34,45104.0,601519,-0.01382,-0.02134,0.02796,,,,8.4796,8.66629,,,
2011-03-15,8.378,8.072000000000001,8.398,7.831,64365.0,601519,-0.03295,-0.03962,0.00473,,,,8.413,8.6681,,,
2011-03-16,8.093,8.168,8.202,8.031,57252.0,601519,0.01189,-0.05189,-0.07581,,,,8.3236,8.63619,,,
2011-03-17,8.089,8.158,8.306000000000001,7.989,58333.0,601519,-0.00122,-0.04774,-0.08686,,,,8.2418,8.59924,,,
2011-03-18,8.089,8.127,8.244,8.072000000000001,40175.0,601519,-0.0038,-0.03982,-0.09246,,,,8.1744,8.55981,,,
2011-03-21,8.031,7.976,8.031,7.886,38897.0,601519,-0.01858,-0.04445,-0.13996,,,,8.1002,8.498,8.50497,,
2011-03-22,8.003,7.968999999999999,8.02,7.893,28361.0,601519,-0.00088,-0.01276,-0.09975,,,,8.0796,8.45595,8.48822,,
2011-03-23,7.968999999999999,8.041,8.065,7.965,24910.0,601519,0.00904,-0.01555,-0.10516,,,,8.0542,8.41095,8.47467,,
