date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
1994-05-09,3.875,3.639,3.875,3.472,51947.0,000034,,,,,,,,,,,
1994-05-10,3.687,4.021,4.037,3.499,62124.0,000034,0.10497000000000001,,,,,,,,,,
1994-05-11,4.01,3.687,4.037,3.66,52600.0,000034,-0.08306000000000001,,,,,,3.7823300000000004,,,,
1994-05-12,3.606,3.714,3.875,3.552,35637.0,000034,0.00732,,,,,,3.76525,,,,
1994-05-13,4.252,4.306,4.317,3.962,125360.0,000034,0.1594,,,,,,3.8734,,,,
1994-05-16,4.414,4.333,4.457,4.284,66768.0,000034,0.00627,0.19071,,,,,4.0122,,,,
1994-05-17,4.306,4.107,4.306,4.091,22209.0,000034,-0.052160000000000005,0.02139,,,,,4.0294,,,,
1994-05-18,4.064,3.962,4.091,3.902,20429.0,000034,-0.03531,0.07459,,,,,4.0844,,,,
1994-05-19,3.972,4.198,4.2410000000000005,3.929,24170.0,000034,0.059570000000000005,0.13032,,,,,4.1812,,,,
1994-05-20,4.171,4.101,4.2410000000000005,4.091,20185.0,000034,-0.02311,-0.04761,,,,,4.1402,,,,
1994-05-23,4.048,4.026,4.101,3.962,8577.0,000034,-0.01829,-0.07085,,,,,4.0788,4.00855,,,
1994-05-24,3.999,4.075,4.091,3.999,5242.0,000034,0.01217,-0.007790000000000001,,,,,4.0724,4.01408,,,
1994-05-25,4.075,3.988,4.075,3.983,6073.0,000034,-0.02135,0.00656,,,,,4.0776,4.01208,,,
1994-05-26,3.962,3.924,4.064,3.913,7426.0,000034,-0.01605,-0.06527000000000001,,,,,4.0228,4.00579,,,
1994-05-27,3.875,3.843,3.983,3.827,8936.0,000034,-0.020640000000000002,-0.06291000000000001,,,,,3.9712,3.99493,,,
1994-05-30,3.822,3.596,3.832,3.579,13046.0,000034,-0.06427000000000001,-0.10680999999999999,,,,,3.8852,3.97,,,
1994-05-31,3.542,3.66,3.757,3.542,11419.0,000034,0.0178,-0.10184,,,,,3.8022,3.9517599999999997,,,
1994-06-01,3.66,3.499,3.671,3.482,8892.0,000034,-0.043989999999999994,-0.12262,,,,,3.7044,3.9266099999999997,,,
1994-06-02,3.472,3.488,3.579,3.445,5751.0,000034,-0.00314,-0.11110999999999999,,,,,3.6172,3.9035300000000004,,,
1994-06-03,3.499,3.488,3.633,3.472,5602.0,000034,0.0,-0.09237999999999999,,,,,3.5462,3.88275,,,
1994-06-06,3.488,3.402,3.526,3.391,4076.0,000034,-0.024659999999999998,-0.05395,,,,,3.5074,3.85986,,,
1994-06-07,3.364,3.369,3.445,3.353,1251.0,000034,-0.0097,-0.07951,-0.0742,,,,3.4492,3.847,,,
1994-06-08,3.364,3.391,3.472,3.283,4595.0,000034,0.006529999999999999,-0.030869999999999998,-0.15667999999999999,,,,3.4276,3.8169999999999997,,,
1994-06-09,3.391,3.3480000000000003,3.45,3.337,3411.0,000034,-0.01268,-0.040139999999999995,-0.09194,,,,3.3996,3.8008599999999997,,,
1994-06-10,3.3480000000000003,3.353,3.434,3.326,3905.0,000034,0.00149,-0.0387,-0.0972,,,,3.3726,3.78367,,,
1994-06-13,3.299,3.2030000000000003,3.31,3.2030000000000003,6072.0,000034,-0.044739999999999995,-0.0585,-0.25615,,,,3.3328,3.7311400000000003,,,
1994-06-14,3.176,3.079,3.208,3.057,6710.0,000034,-0.03871,-0.08607999999999999,-0.28941,,,,3.2748,3.6714300000000004,,,
1994-06-15,3.014,3.1,3.143,3.014,4274.0,000034,0.0068200000000000005,-0.08582000000000001,-0.24519000000000002,,,,3.2166,3.6234800000000003,,,
1994-06-16,3.122,3.2030000000000003,3.256,3.068,8271.0,000034,0.03323,-0.04331,-0.19157000000000002,,,,3.1876,3.58733,,,
1994-06-17,3.2030000000000003,3.364,3.391,3.127,12706.0,000034,0.05027,0.00328,-0.19867,,,,3.1898,3.5476199999999998,,,
1994-06-20,3.337,3.165,3.375,3.122,13269.0,000034,-0.059160000000000004,-0.011859999999999999,-0.22824,,,,3.1822,3.50305,3.66555,,
1994-06-21,3.256,3.111,3.256,3.084,2732.0,000034,-0.01706,0.01039,-0.22726999999999997,,,,3.1886,3.45948,3.64822,,
