date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2016-10-18,18.48,22.18,22.18,18.48,85.0,300555,,,,,,,,,,,
2016-10-19,24.4,24.4,24.4,24.4,12.0,300555,0.10009,,,,,,,,,,
2016-10-20,26.84,26.84,26.84,26.84,13.0,300555,0.1,,,,,,24.47333,,,,
2016-10-21,29.52,29.52,29.52,29.52,37.0,300555,0.09985,,,,,,25.735,,,,
2016-10-24,32.47,32.47,32.47,32.47,26.0,300555,0.09993,,,,,,27.082,,,,
2016-10-25,35.72,35.72,35.72,35.72,41.0,300555,0.10009,0.61046,,,,,29.79,,,,
2016-10-26,39.29,39.29,39.29,39.29,19.0,300555,0.09994,0.61025,,,,,32.768,,,,
2016-10-27,43.22,43.22,43.22,43.22,40.0,300555,0.10003,0.61028,,,,,36.044,,,,
2016-10-28,47.54,47.54,47.54,47.54,150.0,300555,0.09995,0.61043,,,,,39.648,,,,
2016-10-31,52.29,52.29,52.29,52.29,167.0,300555,0.09992,0.61041,,,,,43.612,,,,
2016-11-01,57.52,57.52,57.52,57.52,99.0,300555,0.10002,0.6103,,,,,47.972,37.36273,,,
2016-11-02,63.27,63.27,63.27,63.27,330.0,300555,0.09997,0.61033,,,,,52.768,39.52167,,,
2016-11-03,69.6,69.6,69.6,69.6,577.0,300555,0.10005,0.61037,,,,,58.044,41.83538,,,
2016-11-04,76.56,76.56,76.56,76.56,806.0,300555,0.1,0.61043,,,,,63.848,44.31571,,,
2016-11-07,84.22,84.22,84.22,80.35,80397.0,300555,0.10005,0.61063,,,,,70.234,46.976,,,
2016-11-08,86.9,87.99,92.0,84.91,110819.0,300555,0.04476,0.52973,,,,,76.328,49.53938,,,
2016-11-09,86.0,87.3,88.87,84.56,66418.0,300555,-0.00784,0.3798,,,,,81.134,51.76059,,,
2016-11-10,87.49,90.71,93.75,86.02,86111.0,300555,0.03906,0.3033,,,,,85.356,53.92444,,,
2016-11-11,90.38,94.08,96.0,89.02,83681.0,300555,0.03715,0.22884,,,,,88.86,56.03789,,,
2016-11-14,92.0,88.5,93.0,88.5,58287.0,300555,-0.05931,0.05082,,,,,89.716,57.661,,,
2016-11-15,88.41,87.2,88.71,84.8,40559.0,300555,-0.01469,-0.00898,,,,,89.558,59.06762,,,
2016-11-16,86.74,84.58,87.59,84.57,31195.0,300555,-0.03005,-0.03116,2.81335,,,,89.014,62.03905,,,
2016-11-17,84.05,84.9,86.49,83.5,25191.0,300555,0.00378,-0.06405,2.47951,,,,87.852,64.92,,,
2016-11-18,84.9,84.98,86.5,84.4,21363.0,300555,0.00094,-0.09673,2.16617,,,,86.032,67.68857,,,
2016-11-21,85.0,84.95,85.5,83.59,18289.0,300555,-0.00035,-0.04011,1.87771,,,,85.322,70.3281,,,
