date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2004-04-14,6.94,7.3389999999999995,7.756,6.94,117838.37,600988,,,,,,,,,,,
2004-04-15,7.171,6.843999999999999,7.321000000000001,6.785,41832.31,600988,-0.06745,,,,,,,,,,
2004-04-16,6.794,6.79,6.876,6.577000000000001,23618.46,600988,-0.00789,,,,,,6.991,,,,
2004-04-19,6.794,6.849,6.89,6.631,14470.22,600988,0.00869,,,,,,6.9555,,,,
2004-04-20,6.794,6.662999999999999,6.803,6.631,9286.82,600988,-0.02716,,,,,,6.897,,,,
2004-04-21,6.662999999999999,6.631,6.781000000000001,6.577000000000001,7476.35,600988,-0.0048,-0.09647,,,,,6.7554,,,,
2004-04-22,6.6129999999999995,6.627000000000001,6.69,6.477,8090.13,600988,-0.0006,-0.03171,,,,,6.712,,,,
2004-04-23,6.495,6.409,6.6129999999999995,6.4,6688.31,600988,-0.0329,-0.05611,,,,,6.6358,,,,
2004-04-26,6.386,6.141,6.386,6.032,12728.52,600988,-0.04182,-0.10337,,,,,6.4942,,,,
2004-04-27,6.141,5.933,6.196000000000001,5.901,8955.27,600988,-0.03387,-0.10956,,,,,6.3482,,,,
2004-04-28,5.706,5.9239999999999995,6.155,5.706,12201.31,600988,-0.00152,-0.10662,,,,,6.2068,6.55909,,,
2004-04-29,5.9239999999999995,5.806,5.933,5.765,8437.48,600988,-0.01992,-0.12389,,,,,6.0426,6.49633,,,
2004-04-30,5.827999999999999,5.937,6.023,5.787999999999999,7112.94,600988,0.02256,-0.07365,,,,,5.9482,6.45331,,,
2004-05-10,5.937,5.756,5.96,5.6739999999999995,4982.65,600988,-0.03049,-0.06269,,,,,5.8712,6.4035,,,
2004-05-11,5.7379999999999995,5.697,5.815,5.67,4891.89,600988,-0.01025,-0.03978,,,,,5.824,6.3564,,,
2004-05-12,5.718999999999999,5.96,5.987,5.6739999999999995,7594.63,600988,0.04616,0.00608,,,,,5.8312,6.33162,,,
2004-05-13,5.946000000000001,5.942,6.077999999999999,5.901,7813.65,600988,-0.00302,0.02342,,,,,5.8584,6.30871,,,
2004-05-14,5.901,5.806,5.987,5.742000000000001,5640.68,600988,-0.02289,-0.02207,,,,,5.8322,6.28078,,,
2004-05-17,5.76,5.765,5.8420000000000005,5.718999999999999,2703.8,600988,-0.00706,0.00156,,,,,5.834,6.25363,,,
2004-05-18,5.8420000000000005,6.001,6.046,5.806,7610.7,600988,0.04094,0.05336,,,,,5.8948,6.241,,,
2004-05-19,5.987,5.91,6.077999999999999,5.896,7622.99,600988,-0.01516,-0.00839,,,,,5.8848,6.22524,,,
2004-05-20,5.896,5.8420000000000005,5.9639999999999995,5.806,3740.37,600988,-0.01151,-0.01683,-0.20398,,,,5.8648,6.15395,,,
2004-05-21,5.851,5.8420000000000005,5.892,5.76,3242.71,600988,0.0,0.0062,-0.14641,,,,5.872,6.10624,,,
2004-05-24,5.837000000000001,5.747000000000001,5.851,5.724,3488.14,600988,-0.01626,-0.00312,-0.15361,,,,5.8684,6.05657,,,
2004-05-25,5.747000000000001,5.348,5.778,5.325,10549.04,600988,-0.06943,-0.10882,-0.21916,,,,5.7378,5.9851,,,
2004-05-26,5.329,5.388,5.42,5.28,3517.61,600988,0.00748,-0.08832,-0.19136,,,,5.6334,5.92438,,,
2004-05-27,5.352,5.597,5.656000000000001,5.343,7894.09,600988,0.03879,-0.04194,-0.15593,,,,5.5844,5.87514,,,
2004-05-28,5.597,5.579,5.6610000000000005,5.537999999999999,5900.51,600988,-0.00322,-0.04502,-0.15814,,,,5.5318,5.82524,,,
2004-05-31,5.579,5.8420000000000005,5.8420000000000005,5.579,10856.5,600988,0.04714,0.01653,-0.08847,,,,5.5508,5.79824,,,
2004-06-01,5.869,6.305,6.4270000000000005,5.86,35304.47,600988,0.07925,0.17895,0.02671,,,,5.7422,5.80605,,,
2004-06-02,6.282,6.237,6.568,6.169,28815.7,600988,-0.01079,0.15757,0.05124,,,,5.912,5.82052,6.07926,,
2004-06-03,6.237,6.327000000000001,6.504,6.023,22263.4,600988,0.01443,0.13043,0.06803,,,,6.058,5.83971,6.087,,
2004-06-04,6.25,6.169,6.395,6.127999999999999,8954.07,600988,-0.02497,0.10575,0.06252,,,,6.176,5.857,6.08948,,
2004-06-08,6.169,5.983,6.273,5.955,7095.53,600988,-0.03015,0.02414,0.00775,,,,6.2042,5.85919,6.08635,,
2004-06-09,5.968999999999999,5.8420000000000005,6.087000000000001,5.815,5938.49,600988,-0.02357,-0.07343,0.01494,,,,6.1116,5.86329,6.07937,,
2004-06-10,5.806,5.443,5.8870000000000005,5.4110000000000005,11163.53,600988,-0.0683,-0.1273,-0.04458,,,,5.9528,5.85119,6.06169,,
2004-06-11,5.443,5.606,5.815,5.443,8667.27,600988,0.02995,-0.11396,-0.0594,,,,5.8086,5.83433,6.04938,,
2004-06-14,5.579,5.52,5.629,5.402,6051.35,600988,-0.01534,-0.1052,-0.07102,,,,5.6788,5.81424,6.03545,,
2004-06-15,5.511,5.67,5.692,5.452000000000001,4097.44,600988,0.02717,-0.05231,-0.02342,,,,5.6162,5.80776,6.02608,,
2004-06-16,5.615,5.706,5.751,5.602,6469.59,600988,0.00635,-0.02328,-0.01023,,,,5.589,5.80495,6.01808,,
