date,open,close,high,low,volume,code,ret_0_1_d,ret_0_5_d,ret_0_21_d,ret_0_62_d,ret_0_123_d,ret_0_246_d,ma5,ma21,ma62,ma123,ma246
2010-08-27,5.403,6.228,6.228,5.396,105819.0,300113,,,,,,,,,,,
2010-08-30,6.124,6.301,6.421,6.006,58758.0,300113,0.01172,,,,,,,,,,
2010-08-31,6.419,6.931,6.931,6.381,45522.0,300113,0.09998,,,,,,6.48667,,,,
2010-09-01,6.834,6.705,6.912999999999999,6.39,33228.0,300113,-0.03261,,,,,,6.54125,,,,
2010-09-02,6.638,7.0920000000000005,7.367999999999999,6.595,30623.0,300113,0.05772,,,,,,6.6514,,,,
2010-09-03,6.936,7.1,7.277,6.854,22615.0,300113,0.00113,0.14001,,,,,6.8258,,,,
2010-09-06,6.9670000000000005,7.2410000000000005,7.444,6.532,25618.0,300113,0.01986,0.14918,,,,,7.0138,,,,
2010-09-07,7.1610000000000005,7.542999999999999,7.8870000000000005,6.949,15784.0,300113,0.04171,0.0883,,,,,7.1362,,,,
2010-09-08,7.507999999999999,7.6,7.774,7.362,8497.0,300113,0.00756,0.13348,,,,,7.3152,,,,
2010-09-09,7.605,7.382000000000001,7.7589999999999995,7.303,10242.0,300113,-0.02868,0.04089,,,,,7.3732,,,,
2010-09-10,7.277,7.01,7.354,6.834,12641.0,300113,-0.05039,-0.01268,,,,,7.3552,7.01209,,,
2010-09-13,7.021,6.834,7.0920000000000005,6.656000000000001,10050.0,300113,-0.02511,-0.05621,,,,,7.2738,6.99725,,,
2010-09-14,6.834,6.853,7.1,6.817,9825.0,300113,0.00278,-0.09148,,,,,7.1358,6.98615,,,
2010-09-15,6.789,6.167999999999999,6.789,6.167999999999999,13510.0,300113,-0.09996,-0.18842,,,,,6.8494,6.92771,,,
2010-09-16,5.952999999999999,6.135,6.211,5.952999999999999,9454.0,300113,-0.00535,-0.16892,,,,,6.6,6.87487,,,
2010-09-17,6.061,5.9910000000000005,6.247999999999999,5.897,7085.0,300113,-0.02347,-0.14536,,,,,6.3962,6.81962,,,
2010-09-20,5.946000000000001,6.065,6.186,5.9110000000000005,7861.0,300113,0.01235,-0.11253,,,,,6.2424,6.77524,,,
2010-09-21,6.037000000000001,6.053,6.117000000000001,5.99,4145.0,300113,-0.00198,-0.11674,,,,,6.0824,6.73511,,,
2010-09-27,6.044,6.31,6.379,5.962000000000001,4672.0,300113,0.04246,0.02302,,,,,6.1108,6.71274,,,
2010-09-28,6.252000000000001,6.292000000000001,6.436,6.178,3457.0,300113,-0.00285,0.02559,,,,,6.1422,6.6917,,,
2010-09-29,6.212000000000001,6.056,6.291,6.035,3734.0,300113,-0.03751,0.01085,,,,,6.1552,6.66143,,,
2010-09-30,6.056,6.045,6.122000000000001,5.928,4414.0,300113,-0.00182,-0.0033,-0.02938,,,,6.1512,6.65271,,,
2010-10-08,6.072,6.046,6.124,5.894,4637.0,300113,0.00017,-0.00116,-0.04047,,,,6.1498,6.64057,,,
2010-10-11,6.055,5.591,6.055,5.442,10001.0,300113,-0.07526,-0.11395,-0.19333,,,,6.006,6.57676,,,
2010-10-12,5.5520000000000005,5.593999999999999,5.6770000000000005,5.502000000000001,5595.0,300113,0.00054,-0.11093,-0.1657,,,,5.8664,6.52386,,,
2010-10-13,5.541,5.511,5.547000000000001,5.412000000000001,7009.0,300113,-0.01484,-0.08999,-0.22293,,,,5.7574,6.44857,,,
2010-10-14,5.518,5.555,5.669,5.502000000000001,4690.0,300113,0.00798,-0.08106,-0.21761,,,,5.6594,6.375,,,
2010-10-15,5.502000000000001,5.3,5.502000000000001,5.237,4277.0,300113,-0.0459,-0.12339,-0.26806,,,,5.5102,6.28257,,,
2010-10-18,5.285,5.03,5.285,4.877,3766.0,300113,-0.05094,-0.10034,-0.33316,,,,5.398,6.1629,,,
2010-10-19,5.053,5.5329999999999995,5.5329999999999995,5.007,4909.0,300113,0.1,-0.0109,-0.27197,,,,5.3858,6.06448,,,
2010-10-20,5.436,5.521,5.742000000000001,5.419,4394.0,300113,-0.00217,0.00181,-0.2521,,,,5.3878,5.97586,6.31019,,
2010-10-21,5.497999999999999,5.516,5.54,5.369,2604.0,300113,-0.00091,-0.00702,-0.21312,,,,5.38,5.90471,6.28537,,
2010-10-22,5.468999999999999,5.794,5.871,5.468,4567.0,300113,0.0504,0.09321,-0.15218,,,,5.4788,5.85519,6.27048,,
2010-10-25,6.026,6.374,6.374,6.026,6287.0,300113,0.1001,0.2672,-0.0699,,,,5.7476,5.83238,6.27353,,
2010-10-26,6.55,6.461,6.656000000000001,6.39,7465.0,300113,0.01365,0.16772,0.0475,,,,5.9332,5.84633,6.27889,,
2010-10-27,6.379,6.195,6.379,6.079,6434.0,300113,-0.04117,0.12208,0.00978,,,,6.068,5.84919,6.27656,,
2010-10-28,6.132000000000001,6.0360000000000005,6.132000000000001,5.973,3602.0,300113,-0.02567,0.09427,0.00751,,,,6.172,5.85133,6.27005,,
2010-10-29,6.0360000000000005,6.376,6.564,6.0360000000000005,7655.0,300113,0.05633,0.10045,0.05128,,,,6.2884,5.86614,6.27284,,
2010-11-01,6.379,6.501,6.742999999999999,6.319,7604.0,300113,0.0196,0.01992,0.07401,,,,6.3138,5.88748,6.27869,,
2010-11-02,6.502000000000001,6.115,6.502000000000001,6.1129999999999995,5684.0,300113,-0.05938,-0.05355,-0.0309,,,,6.2446,5.87819,6.2746,,
2010-11-03,6.0329999999999995,5.919,6.0329999999999995,5.769,4075.0,300113,-0.03205,-0.04455,-0.05928,,,,6.1894,5.86043,6.26593,,
